IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
162.159.44.84,4,4,0.00,58.25,64.36,NRT
162.159.60.144,4,4,0.00,74.64,56.52,SIN
104.18.42.121,4,4,0.00,73.07,56.02,SIN
172.64.52.245,4,4,0.00,39.57,45.06,NRT
162.159.26.203,4,4,0.00,71.34,40.54,SIN
162.159.25.159,4,4,0.00,74.09,36.84,SIN
172.64.49.224,4,4,0.00,72.80,26.76,SIN
162.159.27.94,4,4,0.00,75.66,6.22,SIN
172.64.229.184,4,4,0.00,67.74,3.89,NRT
162.159.62.82,4,4,0.00,74.22,0.33,SIN
198.41.223.217,4,4,0.00,97.24,0.00,SIN
172.64.153.138,4,4,0.00,116.65,0.00,SIN
108.162.194.11,4,4,0.00,76.47,0.00,SIN
162.159.14.159,4,4,0.00,76.96,0.00,SIN
162.159.42.203,4,4,0.00,77.17,0.00,SIN
162.159.21.193,4,4,0.00,77.32,0.00,SIN
173.245.59.222,4,4,0.00,77.48,0.00,SIN
198.41.222.24,4,4,0.00,77.75,0.00,SIN
104.18.34.233,4,4,0.00,77.95,0.00,SIN
104.18.37.157,4,4,0.00,77.97,0.00,SIN
162.159.16.53,4,4,0.00,78.16,0.00,SIN
104.18.45.204,4,4,0.00,78.31,0.00,SIN
104.18.32.222,4,4,0.00,78.33,0.00,SIN
172.64.53.173,4,4,0.00,78.36,0.00,NRT
172.64.40.225,4,4,0.00,78.37,0.00,SIN
104.18.46.201,4,4,0.00,78.48,0.00,SIN
172.64.151.16,4,4,0.00,78.49,0.00,SIN
104.18.44.60,4,4,0.00,78.49,0.00,SIN
162.159.18.198,4,4,0.00,78.66,0.00,SIN
162.159.41.234,4,4,0.00,78.86,0.00,SIN
172.64.158.65,4,4,0.00,78.88,0.00,SIN
162.159.40.148,4,4,0.00,78.94,0.00,SIN
162.159.43.104,4,4,0.00,79.39,0.00,SIN
162.159.20.24,4,4,0.00,79.44,0.00,SIN
104.18.33.214,4,4,0.00,79.54,0.00,SIN
104.18.39.68,4,4,0.00,79.55,0.00,SIN
162.159.39.189,4,4,0.00,79.67,0.00,NRT
162.159.45.51,4,4,0.00,79.68,0.00,NRT
162.159.24.102,4,4,0.00,79.97,0.00,SIN
162.159.4.214,4,4,0.00,80.05,0.00,SIN
162.159.17.156,4,4,0.00,80.21,0.00,SIN
162.159.12.137,4,4,0.00,80.63,0.00,SIN
162.159.1.209,4,4,0.00,80.92,0.00,SIN
162.159.5.86,4,4,0.00,80.93,0.00,SIN
162.159.38.71,4,4,0.00,81.41,0.00,NRT
108.162.193.191,4,4,0.00,81.52,0.00,SIN
162.159.19.49,4,4,0.00,81.74,0.00,SIN
162.159.22.173,4,4,0.00,81.82,0.00,SIN
162.159.61.227,4,4,0.00,81.92,0.00,SIN
173.245.58.139,4,4,0.00,82.11,0.00,SIN
162.159.3.30,4,4,0.00,82.17,0.00,SIN
162.159.32.215,4,4,0.00,82.20,0.00,SIN
162.159.15.88,4,4,0.00,82.24,0.00,SIN
104.18.43.231,4,4,0.00,82.37,0.00,SIN
162.159.9.119,4,4,0.00,82.43,0.00,SIN
172.64.149.7,4,4,0.00,82.58,0.00,SIN
162.159.7.32,4,4,0.00,82.62,0.00,SIN
162.159.58.133,4,4,0.00,82.80,0.00,SIN
162.159.35.48,4,4,0.00,82.89,0.00,SIN
108.162.198.162,4,4,0.00,83.06,0.00,NRT
172.64.144.59,4,4,0.00,83.14,0.00,SIN
172.64.155.23,4,4,0.00,83.16,0.00,SIN
162.159.49.35,4,4,0.00,83.16,0.00,SIN
162.159.34.2,4,4,0.00,83.27,0.00,SIN
162.159.48.61,4,4,0.00,83.33,0.00,SIN
162.159.23.44,4,4,0.00,83.51,0.00,SIN
172.64.145.88,4,4,0.00,83.52,0.00,SIN
104.18.36.208,4,4,0.00,84.06,0.00,SIN
162.159.13.6,4,4,0.00,84.55,0.00,SIN
162.159.6.165,4,4,0.00,84.89,0.00,SIN
108.162.192.49,4,4,0.00,85.08,0.00,SIN
162.159.46.50,4,4,0.00,85.45,0.00,SIN
172.64.48.83,4,4,0.00,85.72,0.00,SIN
104.18.41.251,4,4,0.00,86.00,0.00,SIN
104.18.38.84,4,4,0.00,88.08,0.00,SIN
172.64.38.68,4,4,0.00,88.45,0.00,SIN
162.159.33.210,4,4,0.00,88.47,0.00,SIN
162.159.36.99,4,4,0.00,90.06,0.00,SIN
162.159.10.60,4,4,0.00,91.11,0.00,SIN
104.18.47.115,4,4,0.00,92.47,0.00,SIN
108.162.196.243,4,4,0.00,94.65,0.00,SIN
104.18.35.36,4,4,0.00,95.17,0.00,SIN
172.64.146.23,4,4,0.00,96.36,0.00,SIN
162.159.11.222,4,4,0.00,96.57,0.00,SIN
172.64.156.144,4,4,0.00,75.78,0.00,SIN
172.64.150.159,4,4,0.00,98.40,0.00,SIN
162.159.8.131,4,4,0.00,99.55,0.00,SIN
172.64.32.137,4,4,0.00,100.91,0.00,SIN
104.19.116.241,4,4,0.00,140.03,0.00,SJC
104.18.40.149,4,4,0.00,76.28,0.00,SIN
162.159.0.151,4,4,0.00,119.00,0.00,SIN
172.64.50.204,4,4,0.00,114.76,0.00,SIN
162.159.2.213,4,4,0.00,134.45,0.00,SIN
172.64.80.224,4,4,0.00,137.95,0.00,SJC
104.18.89.50,4,4,0.00,138.20,0.00,SJC
104.18.11.61,4,4,0.00,138.25,0.00,SJC
104.19.164.117,4,4,0.00,138.27,0.00,SJC
198.41.218.172,4,4,0.00,138.32,0.00,SJC
104.18.223.145,4,4,0.00,138.72,0.00,SJC
104.17.96.245,4,4,0.00,139.26,0.00,SJC
104.16.191.159,4,4,0.00,139.53,0.00,SJC
190.93.247.181,4,4,0.00,139.53,0.00,SJC
190.93.245.42,4,4,0.00,139.60,0.00,SJC
104.16.218.24,4,4,0.00,139.81,0.00,SJC
104.17.158.26,4,4,0.00,139.90,0.00,SJC
172.64.34.139,4,4,0.00,104.74,0.00,SIN
104.19.59.217,4,4,0.00,140.24,0.00,SJC
172.66.47.13,4,4,0.00,140.25,0.00,SJC
104.16.98.109,4,4,0.00,140.47,0.00,SJC
104.18.246.92,4,4,0.00,140.50,0.00,SJC
104.16.86.28,4,4,0.00,140.57,0.00,SJC
104.16.156.25,4,4,0.00,140.71,0.00,SJC
104.19.107.172,4,4,0.00,140.80,0.00,SJC
172.64.72.210,4,4,0.00,141.07,0.00,SJC
104.17.104.114,4,4,0.00,141.33,0.00,SJC
198.41.195.116,4,4,0.00,141.55,0.00,SJC
104.18.195.58,4,4,0.00,141.57,0.00,SJC
104.16.249.68,4,4,0.00,141.76,0.00,SJC
104.16.20.73,4,4,0.00,141.76,0.00,SJC
172.64.82.145,4,4,0.00,141.93,0.00,SJC
104.18.52.191,4,4,0.00,141.94,0.00,SJC
104.18.203.238,4,4,0.00,141.98,0.00,SJC
198.41.192.114,4,4,0.00,142.42,0.00,SJC
104.17.163.212,4,4,0.00,142.44,0.00,SJC
104.16.199.181,4,4,0.00,142.45,0.00,SJC
104.18.254.138,4,4,0.00,142.86,0.00,SJC
172.64.66.162,4,4,0.00,143.01,0.00,SJC
104.18.184.83,4,4,0.00,143.08,0.00,SJC
104.16.139.42,4,4,0.00,143.26,0.00,SJC
104.18.215.13,4,4,0.00,144.21,0.00,SJC
104.16.138.164,4,4,0.00,144.33,0.00,SJC
104.16.214.160,4,4,0.00,144.36,0.00,SJC
104.16.172.167,4,4,0.00,144.37,0.00,SJC
104.17.116.55,4,4,0.00,146.23,0.00,SJC
104.21.226.71,4,4,0.00,147.17,0.00,LAX
104.17.148.79,4,4,0.00,147.23,0.00,SJC
104.17.91.204,4,4,0.00,147.28,0.00,SJC
104.16.118.51,4,4,0.00,147.55,0.00,LAX
104.17.250.109,4,4,0.00,147.59,0.00,SJC
104.19.156.165,4,4,0.00,147.62,0.00,SJC
104.18.233.19,4,4,0.00,147.70,0.00,SJC
198.41.197.55,4,4,0.00,147.75,0.00,SJC
173.245.49.176,4,4,0.00,147.86,0.00,SJC
104.18.68.202,4,4,0.00,147.87,0.00,SJC
104.17.144.213,4,4,0.00,147.92,0.00,SJC
104.19.178.25,4,4,0.00,147.98,0.00,SJC
104.18.2.193,4,4,0.00,148.35,0.00,SJC
104.18.84.121,4,4,0.00,148.37,0.00,SJC
104.19.161.190,4,4,0.00,148.38,0.00,SJC
104.19.67.162,4,4,0.00,148.43,0.00,SJC
104.17.102.74,4,4,0.00,148.48,0.00,SJC
104.16.114.222,4,4,0.00,148.57,0.00,LAX
104.17.157.15,4,4,0.00,148.74,0.00,SJC
172.66.46.165,4,4,0.00,148.76,0.00,SJC
172.66.41.214,4,4,0.00,148.84,0.00,SJC
104.18.21.145,4,4,0.00,148.85,0.00,LAX
104.17.228.37,4,4,0.00,148.91,0.00,SJC
104.17.39.167,4,4,0.00,148.93,0.00,SJC
172.66.45.126,4,4,0.00,149.26,0.00,SJC
104.17.153.47,4,4,0.00,149.27,0.00,SJC
104.17.182.144,4,4,0.00,149.37,0.00,SJC
104.18.209.229,4,4,0.00,149.48,0.00,SJC
104.19.221.93,4,4,0.00,149.57,0.00,SJC
198.41.207.96,4,4,0.00,149.57,0.00,SJC
